source,reputation
economist,1
dallas morning news,0.75
denver post,0.66
trump,-1
npr,0.9
abc,-0.25
thinkprogress,0.45
the blaze,-0.45
the colbert report,0.3
yahoo,-0.6
breitbart,-0.92
the sean hannity show,-0.5
associated press,0.9
people magazine,-0.4
huffington post,-0.55
al jazeera,0.85
buzzfeed,-0.96
mother jones,0.65
washington post,0.64
fox,-0.5
cbs,0
drudge report,-0.1
kansas city star,0.5
nbc,-0.1
seattle times,0.75
time,0.6
usa today,0.27
wall street journal,0.76
slate,0.4
politico,0.75
occupy democrats,-6
latimes,0.76
local,0.75
the rush limbaugh show,-0.3
pbs,0.8
guardian,0.77
the daily show,0
the atlantic,0.23
New York Times,1
the onion,-0.6
bloomberg,0.7
google news,0.05
the ed shultz show,0.5
bbc,0.8
infowars,-0.7
blaze,-0.55
msnbc,-0.2
cnn,0.5
reuters,0.9
100percentfedup.com,-1
365usanews.com,-1
4threvolutionarywar.wordpress.com,-1
aheadoftheherd.com,-1
americablog.com,-1
americanlookout.com,-1
americanpatriotdaily.com,-1
americanthinker.com,-1
americasfreedomfighters.com,-1
AmmoLand.com,-1
anotherdayintheempire.com,-1
antiwar.com,-1
antoniusaquinas.wp.com,-1
bignuggetnews.com,-1
BrotherJohnF.com,-1
centerforsecuritypolicy.org,-1
charismanews.com,-1
citizensunited.org,-1
conservapedia.com,-1
conservativefiringline.com,-1
conservativehq.com,-1
conservativepapers.com,-1
conservativespirit.com,-1
conservativestate.com,-1
conservativetribune.com,-1
countercurrentnews.com,-1
counterjihad.com,-1
cowgernation.com,-1
dailynewsbin.com,-1
dailypoliticsusa.com,-1
dailysignal.com,-1
dailytelegraph.com.au,-1
dailywire.com,-1
darkpolitricks.com,-1
DeadlyClear.wordpress.com,-1
debunkingskeptics.com,-1
defenddemocracy.press,-1
DollarVigilante.com,-1
EagleRising.com,-1
elelephantintheroom.blogspot.com,-1
endingthefed.com,-1
endtime.com,-1
extraclubmagazine.com,-1
federalistpress.com,-1
firearmscoalition.org,-1
freakoutnation.com,-1
FreeBeacon.com,-1
FreedomsPhoenix.com,-1
freedomworldnews.com,-1
frontpagemag.com,-1
gulagbound.com,-1
heartland.org,-1
heresyblog.net,-1
horowitzfreedomcenter.org,-1
ihavethetruth.com,-1
ilovemyfreedom.org,-1
informetoday.com,-1
instaworldnews.com,-1
intrepidreport.com,-1
investmentwatchblog.com,-1
jamesrgrangerjr.com,-1
journal-neo.org,-1
katehon.com,-1
